target,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
FHB_index,rel_r0p172_B2_p75,62,0.40335512437233767,0.0011512810977802833,0.4797791985013008,7.954241852860319e-05,0.40335512437233767,0.4797791985013008
FHB_index,ratio_r0p172_B2_p75,62,0.4033551243723376,0.0011512810977802833,0.4797791985013008,7.954241852860319e-05,0.4033551243723376,0.4797791985013008
FHB_index,rel_r0p172_B2_mean,62,0.38536408341114037,0.001981315563859917,0.448142443893318,0.0002595978834904755,0.38536408341114037,0.448142443893318
FHB_index,ratio_r0p172_B2_mean,62,0.3853640834111403,0.001981315563859917,0.448142443893318,0.0002595978834904755,0.3853640834111403,0.448142443893318
FHB_index,rel_r0p172_B4_p75,62,0.4155865021599623,0.0007820960371477378,0.43860291141356844,0.00036277623164264353,0.4155865021599623,0.43860291141356844
FHB_index,ratio_r0p172_B4_p75,62,0.4155865021599622,0.0007820960371477378,0.43860291141356844,0.00036277623164264353,0.4155865021599622,0.43860291141356844
FHB_index,diff_r0p172_B2_p75,62,0.43383049369131954,0.0004273322484549296,0.4385521075357503,0.0003634138667551421,0.43383049369131954,0.4385521075357503
FHB_index,diff_r0p172_ND_B5_B6_mean,62,0.404232235866189,0.0011203378097416465,0.43795616344883964,0.0003709701347142605,0.404232235866189,0.43795616344883964
FHB_index,diff_r0p172_NDRE2_mean,62,-0.404232235866189,0.0011203378097416465,-0.43795616344883964,0.0003709701347142605,0.404232235866189,0.43795616344883964
FHB_index,diff_r0p172_CI_RE2_mean,62,-0.4003969584242806,0.0012613993954541606,-0.4348032671207868,0.0004133825711923916,0.4003969584242806,0.4348032671207868
FHB_index,0418_r0p172_ND_B1_B4_mean,62,0.34035605517731166,0.0067944606123352975,0.4124635145057801,0.0008644446370157614,0.34035605517731166,0.4124635145057801
FHB_index,0510_r0p172_B1_mean,62,0.43817743787367597,0.0003681479397992179,0.40990347047872877,0.0009377068711046439,0.43817743787367597,0.40990347047872877
FHB_index,diff_r0p172_B2_mean,62,0.4279224775291394,0.0005216576411958122,0.4059151913629012,0.001063055551835976,0.4279224775291394,0.4059151913629012
FHB_index,ratio_r0p172_B2_median,62,0.3737706067719486,0.0027674484457691786,0.40419053012362455,0.0011217919895817694,0.3737706067719486,0.40419053012362455
FHB_index,rel_r0p172_B2_median,62,0.37377060677194845,0.002767448445769196,0.40419053012362455,0.0011217919895817694,0.37377060677194845,0.40419053012362455
FHB_index,diff_r0p172_B5_p75,62,0.14160347034946452,0.2722748535898182,0.4030587211853491,0.0011619105168724853,0.14160347034946452,0.4030587211853491
FHB_index,rel_r0p172_B5_p75,62,0.12810831637874695,0.3210543397427294,0.40284313853043957,0.0011696970353544428,0.12810831637874695,0.40284313853043957
FHB_index,ratio_r0p172_B5_p75,62,0.12810831637874687,0.3210543397427294,0.40284313853043957,0.0011696970353544428,0.12810831637874687,0.40284313853043957
FHB_index,0510_r0p172_B1_median,62,0.45312278068796835,0.0002171273926156399,0.39847758976852027,0.001337827210021756,0.45312278068796835,0.39847758976852027
