target,dataset,dataset_name,temporal,feature_type,feature_count,mean_abs_spearman,max_abs_spearman
Flower_num,multi_scale,0.3/0.5/1.0m,0510,pairwise_nd,5,0.678885943887377,0.7416132992408726
Flower_num,multi_scale,0.3/0.5/1.0m,ratio,named_index,6,0.662140739817279,0.7016531531645023
Flower_num,multi_scale,0.3/0.5/1.0m,rel,named_index,6,0.662140739817279,0.7016531531645023
Flower_num,multi_scale,0.3/0.5/1.0m,diff,named_index,2,0.6752089388492573,0.6993025563364804
Flower_num,multi_scale,0.3/0.5/1.0m,0510,named_index,7,0.6698961103042896,0.6823446792200376
Flower_num,multi_scale,0.3/0.5/1.0m,diff,pairwise_nd,1,0.651115321362034,0.651115321362034
Flower_num,multi_scale,0.3/0.5/1.0m,ratio,raw_band,1,0.651115321362034,0.651115321362034
Flower_num,multi_scale,0.3/0.5/1.0m,rel,raw_band,1,0.651115321362034,0.651115321362034
Flower_num,multi_scale,0.3/0.5/1.0m,0510,raw_band,1,0.6413771345030865,0.6413771345030865
Flower_num,one_sqft,1平方尺,0510,pairwise_nd,4,0.5920985510013441,0.6586708111663896
Flower_num,one_sqft,1平方尺,diff,named_index,7,0.5592741452957543,0.595876295903522
Flower_num,one_sqft,1平方尺,ratio,named_index,7,0.5611210428034857,0.59318989952864
Flower_num,one_sqft,1平方尺,rel,named_index,7,0.5611210428034857,0.59318989952864
Flower_num,one_sqft,1平方尺,0510,named_index,1,0.5713629289827235,0.5713629289827235
Flower_num,one_sqft,1平方尺,diff,pairwise_nd,4,0.551592730661326,0.5586025462020338
Flower_num,point,点采样,diff,pairwise_nd,8,0.5635136145748649,0.5992342913721246
Flower_num,point,点采样,0510,pairwise_nd,6,0.5383986067992751,0.5549087511865709
Flower_num,point,点采样,ratio,named_index,4,0.528548486758041,0.5408051702184402
Flower_num,point,点采样,rel,named_index,4,0.528548486758041,0.5408051702184402
Flower_num,point,点采样,diff,named_index,4,0.5287163865314711,0.5300595847189121
Flower_num,point,点采样,0510,named_index,4,0.5195658488795292,0.524686791969148
Flower_rat,multi_scale,0.3/0.5/1.0m,0510,pairwise_nd,5,0.678885943887377,0.7416132992408726
Flower_rat,multi_scale,0.3/0.5/1.0m,ratio,named_index,6,0.662140739817279,0.7016531531645023
Flower_rat,multi_scale,0.3/0.5/1.0m,rel,named_index,6,0.662140739817279,0.7016531531645023
Flower_rat,multi_scale,0.3/0.5/1.0m,diff,named_index,2,0.6752089388492573,0.6993025563364804
Flower_rat,multi_scale,0.3/0.5/1.0m,0510,named_index,7,0.6698961103042896,0.6823446792200376
Flower_rat,multi_scale,0.3/0.5/1.0m,diff,pairwise_nd,1,0.651115321362034,0.651115321362034
Flower_rat,multi_scale,0.3/0.5/1.0m,ratio,raw_band,1,0.651115321362034,0.651115321362034
Flower_rat,multi_scale,0.3/0.5/1.0m,rel,raw_band,1,0.651115321362034,0.651115321362034
Flower_rat,multi_scale,0.3/0.5/1.0m,0510,raw_band,1,0.6413771345030865,0.6413771345030865
Flower_rat,one_sqft,1平方尺,0510,pairwise_nd,4,0.5920985510013441,0.6586708111663896
Flower_rat,one_sqft,1平方尺,diff,named_index,7,0.5592741452957543,0.595876295903522
Flower_rat,one_sqft,1平方尺,ratio,named_index,7,0.5611210428034857,0.59318989952864
Flower_rat,one_sqft,1平方尺,rel,named_index,7,0.5611210428034857,0.59318989952864
Flower_rat,one_sqft,1平方尺,0510,named_index,1,0.5713629289827235,0.5713629289827235
Flower_rat,one_sqft,1平方尺,diff,pairwise_nd,4,0.551592730661326,0.5586025462020338
Flower_rat,point,点采样,diff,pairwise_nd,8,0.5635136145748649,0.5992342913721246
Flower_rat,point,点采样,0510,pairwise_nd,6,0.5383986067992751,0.5549087511865709
Flower_rat,point,点采样,ratio,named_index,4,0.528548486758041,0.5408051702184402
Flower_rat,point,点采样,rel,named_index,4,0.528548486758041,0.5408051702184402
Flower_rat,point,点采样,diff,named_index,4,0.5287163865314711,0.5300595847189121
Flower_rat,point,点采样,0510,named_index,4,0.5195658488795292,0.524686791969148
