target,scale,scale_label,radius_m,feature_set,model,validation_scheme,n,n_features,r2,rmse,mae,pearson_r,spearman_r,ci_lower,ci_upper,permutation_p,leakage_risk,result_status,notes
Flower_rat,point,点采样,0.0,0510_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.08201377083572625,28.243037684593165,23.91376487462024,0.3284137264472803,0.3797892874989481,-0.4964641279567226,0.332684112109561,0.04477611940298507,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,one_sqft,1 ft²,0.172,0510_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.011926545587461312,29.301370789525183,24.3025096899372,0.33246712670485057,0.3702190004134308,-0.778562609490558,0.36680620076237547,0.0945273631840796,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,r0p3,0.3 m,0.3,0510_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.17744757671760625,26.734687708592386,23.154702082825768,0.4441306033043063,0.44711709664442917,-0.3435462047343193,0.40099558836190113,0.009950248756218905,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,r0p5,0.5 m,0.5,0510_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.11198036554660562,27.7782323664849,23.330363491451866,0.41542893030330436,0.42898392111397543,-0.549439763513232,0.3927048660651267,0.014925373134328358,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,r1,1.0 m,1.0,0510_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.2906570905624133,24.826839594937283,19.945177978673236,0.5480870718220892,0.5614568423503459,-0.22081408773029143,0.5396565619616622,0.004975124378109453,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
