target,valid_n,missing_n,min,p25,median,mean,p75,max,std,unique_n,unique_values,duplicate_target_value_n
Flower_num,33,37,1.0,16.0,23.0,20.727272727272727,28.0,30.0,8.980091617269029,18,1;4;6;10;11;14;15;16;17;18;21;23;25;26;27;28;29;30,15
Flower_rat,33,37,3.33,53.33,76.67,69.09121212121212,93.33,100.0,29.93472709053564,18,3.33;13.33;20;33.33;36.67;46.67;50;53.33;56.67;60;70;76.67;83.33;86.67;90;93.33;96.67;100,15
