target,scale,feature,feature_type,date_type,statistic,n,pearson_r,pearson_p,spearman_r,spearman_p,fdr_q_within_scale,fdr_q_global,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,max_stat_permutation_p,stability_status
Flower_rat,one_sqft,0510_r0p172_ND_B2_B3_median,pairwise_nd,0510,median,33,-0.52643173304628,0.0016494109081382385,-0.6586708111663896,3.081388048805021e-05,0.01164764682448298,0.0028749350495350847,-0.8300533040706575,-0.3762040771158745,0.386,0.601,0.711,0.005994005994005994,stable_top10
Flower_rat,one_sqft,diff_r0p172_DVI_mean,predefined_index,diff,mean,33,-0.5470434223187081,0.0009863998384771156,-0.595876295903522,0.0002533158937497983,0.012341712739816393,0.007093024941597355,-0.7830584610919661,-0.32578370978719146,0.0645,0.24,0.39,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,ratio_r0p172_DVI_median,predefined_index,ratio,median,33,-0.5258038449346295,0.0016746022761176104,-0.59318989952864,0.0002745439179747814,0.012341712739816393,0.007115263207513085,-0.7789650713863195,-0.31312678559234064,0.016,0.195,0.35,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,rel_r0p172_DVI_median,predefined_index,rel,median,33,-0.5258038449346297,0.0016746022761176104,-0.59318989952864,0.0002745439179747814,0.012341712739816393,0.007115263207513085,-0.7789650713863195,-0.31312678559234064,0.0095,0.201,0.3525,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,0510_r0p172_ND_B1_B3_median,pairwise_nd,0510,median,33,-0.5569812755427715,0.0007606869950142483,-0.5837875122165529,0.00036186239997069346,0.012341712739816393,0.007943943980533105,-0.8090198458877786,-0.24703885025470776,0.06,0.245,0.36,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,0510_r0p172_ND_B2_B3_mean,pairwise_nd,0510,mean,33,-0.5151291287855875,0.0021573886244795103,-0.5740493253576054,0.00047749132026709466,0.012341712739816393,0.007967730094483367,-0.7934437896968941,-0.24656404088744674,0.022,0.1845,0.2855,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,0510_r0p172_EVI_median,predefined_index,0510,median,33,-0.5295795887905342,0.0015280448016046966,-0.5713629289827235,0.0005146691811993004,0.012341712739816393,0.007967730094483367,-0.7955864552727722,-0.22678669899736117,0.0055,0.084,0.22,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,rel_r0p172_RENDVI1_median,predefined_index,rel,median,33,-0.46709886072411083,0.006133799497384714,-0.5639753389517979,0.000630452600338176,0.012341712739816393,0.007967730094483367,-0.795321963666419,-0.2212005468479788,0.0185,0.168,0.263,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,ratio_r0p172_RENDVI1_median,predefined_index,ratio,median,33,-0.46709886072411083,0.006133799497384714,-0.5639753389517979,0.000630452600338176,0.012341712739816393,0.007967730094483367,-0.795321963666419,-0.2212005468479788,0.0175,0.1635,0.2615,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,ratio_r0p172_DVI_mean,predefined_index,ratio,mean,33,-0.5393105559381107,0.0012008329023536007,-0.5609531430300555,0.0006840896791508067,0.012341712739816393,0.008326530812249027,-0.7741996672344841,-0.2581577049963023,0.008,0.095,0.219,0.005994005994005994,unstable_or_not_bootstrapped
