spatial_group,sample_count,x_min,x_max,y_min,y_max,flower_rat_mean,flower_rat_std,flower_rat_min,flower_rat_max
0,2,302396.7375411658,302398.0101895445,3399717.598090765,3399725.513117012,91.66499999999999,11.787470042379748,83.33,100.0
1,10,302412.9878189794,302424.0391341388,3399747.417463769,3399766.0682448247,62.334,31.821128271078706,3.33,100.0
2,7,302403.2165384987,302419.234291196,3399736.525009175,3399749.7275234265,81.42857142857143,25.737430866717208,36.67,100.0
3,8,302411.355733424,302425.2269833888,3399708.4573577275,3399721.3690502183,58.75,28.394192565180848,13.33,93.33
4,6,302415.80338815314,302425.1079206507,3399727.761175847,3399740.471784604,72.22333333333334,35.633962264483955,3.33,100.0
