target,scale,feature_set,model,fold,test_group,train_n,test_n,input_feature_count,selected_feature_count,selected_features,params
Flower_rat,r1,0418_single_date,Ridge,5,4,27,6,102,10,0418_r1_B2_max;0418_r1_B4_max;0418_r1_B5_p75;0418_r1_ND_B2_B3_mean;0418_r1_ND_B3_B4_mean;0418_r1_ND_B2_B3_median;0418_r1_ND_B3_B4_median;0418_r1_RENDVI1_mean;0418_r1_RENDVI1_median;0418_r1_EVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,change_only,Ridge,1,0,31,2,174,10,ratio_r1_RENDVI1_mean;rel_r1_RENDVI1_mean;ratio_r1_RVI_mean;rel_r1_RVI_mean;diff_r1_DVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;diff_r1_EVI_mean;ratio_r1_EVI_mean;rel_r1_EVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,change_only,Ridge,2,1,23,10,174,10,diff_r1_ND_B1_B3_mean;diff_r1_ND_B2_B3_mean;ratio_r1_RENDVI1_mean;rel_r1_RENDVI1_mean;diff_r1_DVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;diff_r1_EVI_mean;ratio_r1_EVI_mean;rel_r1_EVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,change_only,Ridge,3,2,26,7,174,10,ratio_r1_RENDVI1_mean;rel_r1_RENDVI1_mean;ratio_r1_RVI_mean;rel_r1_RVI_mean;diff_r1_DVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;diff_r1_EVI_mean;ratio_r1_EVI_mean;rel_r1_EVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,change_only,Ridge,4,3,25,8,174,10,diff_r1_ND_B3_B5_mean;ratio_r1_NDVI_mean;rel_r1_NDVI_mean;diff_r1_RENDVI2_mean;ratio_r1_RENDVI2_mean;rel_r1_RENDVI2_mean;ratio_r1_RVI_mean;rel_r1_RVI_mean;ratio_r1_SAVI_mean;rel_r1_SAVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,change_only,Ridge,5,4,27,6,174,10,ratio_r1_NDVI_mean;rel_r1_NDVI_mean;diff_r1_DVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;ratio_r1_SAVI_mean;rel_r1_SAVI_mean;diff_r1_EVI_mean;ratio_r1_EVI_mean;rel_r1_EVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,all_features,Ridge,1,0,31,2,378,10,0510_r1_ND_B2_B3_mean;0510_r1_ND_B3_B4_mean;0510_r1_RENDVI1_mean;0510_r1_DVI_mean;0510_r1_EVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;ratio_r1_EVI_mean;rel_r1_EVI_mean;0510_r1_DVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,all_features,Ridge,2,1,23,10,378,10,0510_r1_B5_p25;0510_r1_B6_mean;0510_r1_B6_p25;0510_r1_ND_B2_B3_mean;0418_r1_ND_B1_B5_median;0418_r1_ND_B2_B4_median;0510_r1_DVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;0510_r1_DVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,all_features,Ridge,3,2,26,7,378,10,0510_r1_B6_p25;0510_r1_ND_B2_B3_mean;0510_r1_ND_B3_B4_mean;0510_r1_RENDVI1_mean;0510_r1_RVI_mean;0510_r1_DVI_mean;ratio_r1_RENDVI1_mean;rel_r1_RENDVI1_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,all_features,Ridge,4,3,25,8,378,10,0510_r1_ND_B3_B5_mean;diff_r1_ND_B3_B5_mean;0510_r1_RENDVI2_mean;0510_r1_RVI_mean;diff_r1_RENDVI2_mean;ratio_r1_RENDVI2_mean;rel_r1_RENDVI2_mean;ratio_r1_RVI_mean;rel_r1_RVI_mean;rel_r1_SAVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,all_features,Ridge,5,4,27,6,378,10,0510_r1_ND_B1_B3_mean;0510_r1_ND_B2_B3_mean;0510_r1_ND_B3_B4_mean;0510_r1_RENDVI1_mean;0510_r1_RVI_mean;0510_r1_DVI_mean;0510_r1_EVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;rel_r1_EVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,0510_single_date,SingleFeatureLinear,1,0,31,2,102,1,0510_r1_ND_B2_B3_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(k=1, score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""LinearRegression()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,0510_single_date,SingleFeatureLinear,2,1,23,10,102,1,0510_r1_B6_p25,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(k=1, score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""LinearRegression()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,0510_single_date,SingleFeatureLinear,3,2,26,7,102,1,0510_r1_ND_B2_B3_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(k=1, score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""LinearRegression()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,0510_single_date,SingleFeatureLinear,4,3,25,8,102,1,0510_r1_RVI_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(k=1, score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""LinearRegression()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,r1,0510_single_date,SingleFeatureLinear,5,4,27,6,102,1,0510_r1_ND_B2_B3_mean,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(k=1, score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""LinearRegression()""]], ""transform_input"": null, ""verbose"": false}"
